,time,Ca_cyt,IP3,Ca_stored,IP3R_act
197,98.5,0.06545622192491467,0.11342334175133024,10.456993395000461,0.8235922661752592
198,99.0,0.06565863156810568,0.11406517655301415,10.45589928882105,0.8252157782771041
199,99.5,0.06586073906736643,0.11470797242735181,10.45480681585207,0.8267489114835235
200,100.0,0.06606250501764398,0.1153515076474238,10.45371618909381,0.8281957530906365
201,100.5,0.06626389513172248,0.11599558668733001,10.452627593882575,0.82956021221022
202,101.0,0.06646487985965807,0.1166400370350344,10.45154118994779,0.8308460271924578
203,101.5,0.06666543408130993,0.11728470664301986,10.450457113073993,0.8320567727503889
204,102.0,0.06686553686005885,0.11792946189243776,10.44937547643211,0.8331958667942734
205,102.5,0.06706517124817284,0.11857418597282122,10.448296371631494,0.8342665769844665
206,103.0,0.06726432413619943,0.11921877760012058,10.447219869534056,0.835272027011608
207,103.5,0.06746298614032738,0.11986315001209571,10.446146020863095,0.8362152026130137
208,104.0,0.06766115152294216,0.12050723019295732,10.445074856632743,0.8370989573341397
209,104.5,0.06785881814265593,0.12115095828934536,10.444006388418073,0.8379260180438924
210,105.0,0.06805598743097299,0.12179428718786217,10.442940608481223,0.8386989902123958
211,105.5,0.06825266439349371,0.12243718223089521,10.441877489764897,0.8394203629596214
212,106.0,0.06844885763419298,0.12307962105272761,10.440816985761117,0.8400925138830307
213,106.5,0.06864457940185976,0.12372159352222428,10.439759030260216,0.8407177136721012
214,107.0,0.06883984565827467,0.12436310178191286,10.438703536982297,0.8412981305173027
215,107.5,0.06903467616814597,0.12500416037623086,10.437650399091105,0.8418358343207619
216,108.0,0.06922909461124258,0.1256447964642163,10.436599488587882,0.8423328007155083
217,108.5,0.06942312871756146,0.12628505011409583,10.435550655580752,0.8427909148998373
218,109.0,0.06961681042676662,0.12692497467915861,10.434503727422888,0.8432119752929504
219,109.5,0.06981017607354072,0.12756463725607636,10.433458507710595,0.8435976970176452
220,110.0,0.07000326660091723,0.1282041192285032,10.43241477513018,0.8439497152154216
221,110.5,0.07019612780411723,0.1288435169004202,10.43137228213991,0.8442695881989617
222,111.0,0.07038881060791484,0.1294829422253358,10.430330753470733,0.8445588004464851
223,111.5,0.07058137138111162,0.1301225236391579,10.429289884426424,0.8448187654420368
224,112.0,0.07077387229232918,0.13076240700637531,10.42824933896038,0.8450508283652693
225,112.5,0.07096638171204611,0.1314027566911694,10.427208747502453,0.8452562686337612
226,113.0,0.07115897466663151,0.13204375676728394,10.426167704504694,0.8454363023003655
227,113.5,0.0713517333510865,0.13268561238297108,10.425125765669803,0.8455920843074637
228,114.0,0.0715447477083268,0.1333285513001797,10.424082444819856,0.8457247105993582
229,114.5,0.0717381160841559,0.13397282563043852,10.423037210355918,0.8458352200932938
230,115.0,0.07193194596863474,0.13461871379371787,10.421989481250627,0.8459245965088009
231,115.5,0.0721263548364007,0.13526652273104187,10.420938622505943,0.8459937700541348
232,116.0,0.07232147110068946,0.1359165904069227,10.419883939996275,0.8460436189675629
233,116.5,0.07251743519844925,0.1365692886439728,10.41882467460298,0.8460749709100704
234,117.0,0.07271440082710635,0.13722502633954514,10.417759995529156,0.8460886042046993
