,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
142,21.0,4.0,-25.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
143,21.0,5.0,-26.0,47.5,0.072967740284593,0.1380674347840345,10.416390593056258,0.8460827905965244
144,24.0,0.0,-24.0,55.0,0.076285148198147,0.1489244231646909,10.398458658388392,0.8442920050309972
145,24.0,1.0,-25.0,97.0,0.0648476615564131,0.111506304948545,10.460282910505873,0.8181357462732388
146,23.0,2.0,-25.0,60.5,0.0800821245724617,0.1604743226125309,10.377934461770488,0.8411371612642617
147,23.0,3.0,-26.0,105.0,0.0680559874309729,0.1217942871878621,10.442940608481225,0.8386989902123958
148,22.0,4.0,-26.0,93.5,0.0634291928479539,0.1071374835102794,10.46795030892998,0.801343273288988
149,22.0,5.0,-27.0,80.5,0.0617731482374093,0.1382308777421052,10.476901901419422,0.6499776166744617
150,25.0,0.0,-25.0,51.5,0.0746271586869277,0.1435543234872631,10.407420763854445,0.8454847928906916
151,25.0,1.0,-26.0,47.0,0.0727692123651316,0.1374070189020429,10.417463716945235,0.8460908021227952
152,24.0,2.0,-26.0,97.5,0.0650506823335822,0.1121435981741994,10.459185500899553,0.8200568184941636
153,24.0,3.0,-27.0,66.5,0.0974558364621775,0.2004702512697959,10.284022505609864,0.8329818159605727
154,23.0,4.0,-27.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
155,23.0,5.0,-28.0,91.0,0.0624363779071552,0.1042366230957261,10.473316876177549,0.784971050399681
156,26.0,0.0,-26.0,60.0,0.0796135594978108,0.1591146557085701,10.380467245957789,0.8415065275002538
157,26.0,1.0,-27.0,93.0,0.0632282999055517,0.106535429612467,10.46903621672675,0.7983964986513007
158,25.0,2.0,-27.0,88.5,0.0614999602208886,0.1018557306365725,10.47837859340061,0.7638998064774354
159,25.0,3.0,-28.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
160,24.0,4.0,-28.0,55.5,0.0765503197846683,0.1497680191730233,10.397025298461251,0.8440742431403139
161,24.0,5.0,-29.0,108.5,0.0694231287175614,0.1262850501140958,10.435550655580752,0.8427909148998373
162,27.0,0.0,-27.0,113.0,0.0711589746666315,0.1320437567672839,10.426167704504694,0.8454363023003655
163,27.0,1.0,-28.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
164,26.0,2.0,-28.0,72.5,0.6700563168210277,1.0567056709964486,7.1888847739404085,0.5307398390114114
165,26.0,3.0,-29.0,49.5,0.0737781239148184,0.1407562337195934,10.412010141000977,0.8458955017935941
166,25.0,4.0,-29.0,64.0,0.0853823803784568,0.1746116346434011,10.349284430386728,0.8376877221797729
167,25.0,5.0,-30.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
168,28.0,0.0,-28.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
169,28.0,1.0,-29.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
170,27.0,2.0,-29.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
171,27.0,3.0,-30.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
172,26.0,4.0,-30.0,110.5,0.0701961278041172,0.1288435169004202,10.43137228213991,0.8442695881989617
